time	V(bit0)	V(bit1)	V(bit2)	V(bit3)	V(bitline0)	V(bitline1)
3.450385994607586e-08	7.081078e-01	6.737605e-01	7.079812e-01	1.347414e+00	6.735951e-01	6.736267e-01
3.451157983822756e-08	7.079666e-01	6.737701e-01	7.078406e-01	1.347421e+00	6.691317e-01	6.691902e-01
3.452701962253097e-08	7.076803e-01	6.737896e-01	7.075554e-01	1.347436e+00	6.631305e-01	6.631855e-01
3.455789919113778e-08	7.070865e-01	6.738299e-01	7.069639e-01	1.347464e+00	6.577901e-01	6.577887e-01
3.461675290885804e-08	7.058977e-01	6.739098e-01	7.057790e-01	1.347517e+00	6.577763e-01	6.576390e-01
3.468168073369688e-08	7.045287e-01	6.740004e-01	7.044129e-01	1.347574e+00	6.591848e-01	6.590180e-01
3.476932278631521e-08	7.026376e-01	6.741222e-01	7.025242e-01	1.347649e+00	6.597397e-01	6.595927e-01
3.487508204449810e-08	7.003803e-01	6.742728e-01	7.002684e-01	1.347724e+00	6.623874e-01	6.621820e-01
3.500000000000000e-08	6.977882e-01	6.744643e-01	6.976776e-01	1.347779e+00	6.674178e-01	6.671164e-01
3.502115185163658e-08	6.973926e-01	6.745223e-01	6.972832e-01	1.347735e+00	6.713095e-01	6.709040e-01
3.506345555490974e-08	6.966506e-01	6.747253e-01	6.965532e-01	1.347358e+00	6.773621e-01	6.768503e-01
3.514806296145605e-08	6.954063e-01	6.755998e-01	6.954949e-01	1.343215e+00	6.842433e-01	6.839588e-01
3.531727777454868e-08	6.936032e-01	6.784382e-01	6.952448e-01	1.316738e+00	6.896421e-01	6.915780e-01
3.554188714954868e-08	6.921036e-01	6.827185e-01	6.991030e-01	1.243119e+00	6.916735e-01	7.006070e-01
3.576649652454869e-08	6.913010e-01	6.862901e-01	7.082241e-01	1.131673e+00	6.923649e-01	7.133617e-01
3.599110589954869e-08	6.909603e-01	6.886265e-01	7.215465e-01	1.007638e+00	6.928418e-01	7.293792e-01
3.621571527454869e-08	6.909057e-01	6.899775e-01	7.359364e-01	9.044358e-01	6.929320e-01	7.446479e-01
3.644032464954870e-08	6.910071e-01	6.907400e-01	7.482599e-01	8.371885e-01	6.926267e-01	7.559223e-01
3.666493402454870e-08	6.911597e-01	6.911764e-01	7.570305e-01	8.006334e-01	6.921858e-01	7.626263e-01
3.688954339954870e-08	6.913051e-01	6.914361e-01	7.627237e-01	7.820028e-01	6.918183e-01	7.661887e-01
3.700000000000000e-08	6.913661e-01	6.915202e-01	7.646150e-01	7.768368e-01	6.916910e-01	7.671787e-01
3.700050000000000e-08	6.913664e-01	6.915204e-01	7.646210e-01	7.768224e-01	6.917089e-01	7.672580e-01
3.700150000000000e-08	6.913669e-01	6.915209e-01	7.646330e-01	7.767937e-01	6.917842e-01	7.675623e-01
3.700350000000000e-08	6.913677e-01	6.915220e-01	7.646569e-01	7.767367e-01	6.921977e-01	7.691602e-01
3.700500000000000e-08	6.913685e-01	6.915228e-01	7.646748e-01	7.766941e-01	6.928259e-01	7.715805e-01
3.700521156858177e-08	6.913686e-01	6.915229e-01	7.646773e-01	7.766881e-01	6.929072e-01	7.718287e-01
3.700563470574530e-08	6.913688e-01	6.915231e-01	7.646824e-01	7.766761e-01	6.930299e-01	7.721129e-01
3.700648098007237e-08	6.913691e-01	6.915236e-01	7.646924e-01	7.766523e-01	6.931309e-01	7.720103e-01
3.700778611970680e-08	6.913698e-01	6.915243e-01	7.647078e-01	7.766157e-01	6.930679e-01	7.709818e-01
3.700923599147077e-08	6.913704e-01	6.915250e-01	7.647249e-01	7.765753e-01	6.928148e-01	7.693388e-01
3.701126879238476e-08	6.913714e-01	6.915261e-01	7.647488e-01	7.765190e-01	6.922851e-01	7.669302e-01
3.701416424053799e-08	6.913728e-01	6.915277e-01	7.647824e-01	7.764396e-01	6.913192e-01	7.639348e-01
3.701995513684445e-08	6.913752e-01	6.915304e-01	7.648482e-01	7.762834e-01	6.883876e-01	7.590105e-01
3.703153692945737e-08	6.913773e-01	6.915331e-01	7.649727e-01	7.759778e-01	6.787406e-01	7.518700e-01
3.705000000000000e-08	6.913748e-01	6.915318e-01	7.651601e-01	7.755001e-01	6.582133e-01	7.451867e-01
3.705197305549129e-08	6.913728e-01	6.915301e-01	7.651780e-01	7.754503e-01	6.558709e-01	7.456406e-01
3.705591916647389e-08	6.913679e-01	6.915256e-01	7.652128e-01	7.753514e-01	6.513263e-01	7.466484e-01
3.706381138843907e-08	6.913537e-01	6.915125e-01	7.652797e-01	7.751554e-01	6.425993e-01	7.485687e-01
3.707152419018307e-08	6.913328e-01	6.914928e-01	7.653412e-01	7.749667e-01	6.344805e-01	7.500293e-01
3.708373546637334e-08	6.912774e-01	6.914403e-01	7.654295e-01	7.746759e-01	6.225764e-01	7.515376e-01
3.710815801875389e-08	6.910821e-01	6.912536e-01	7.655814e-01	7.741200e-01	6.014631e-01	7.532805e-01
3.714735872163031e-08	6.904757e-01	6.906692e-01	7.657712e-01	7.733049e-01	5.737816e-01	7.559320e-01
3.722576012738314e-08	6.880558e-01	6.883157e-01	7.660884e-01	7.720171e-01	5.316936e-01	7.664550e-01
3.738256293888882e-08	6.794055e-01	6.798243e-01	7.671286e-01	7.708153e-01	4.666195e-01	7.958828e-01
3.760717231388882e-08	6.606273e-01	6.612426e-01	7.702662e-01	7.720059e-01	3.942718e-01	8.320159e-01
3.783178168888882e-08	6.360598e-01	6.367764e-01	7.756557e-01	7.763705e-01	3.426245e-01	8.553576e-01
3.805639106388883e-08	6.076447e-01	6.083537e-01	7.829828e-01	7.832134e-01	3.075116e-01	8.704267e-01
3.828100043888883e-08	5.776016e-01	5.782290e-01	7.914365e-01	7.914482e-01	2.818218e-01	8.816586e-01
3.850560981388883e-08	5.473925e-01	5.479081e-01	8.004045e-01	8.003271e-01	2.609581e-01	8.909701e-01
3.873021918888883e-08	5.178197e-01	5.182233e-01	8.095400e-01	8.094344e-01	2.427583e-01	8.994663e-01
3.895482856388884e-08	4.892671e-01	4.895737e-01	8.186710e-01	8.185643e-01	2.263763e-01	9.075389e-01
3.917943793888884e-08	4.619009e-01	4.621295e-01	8.277211e-01	8.276238e-01	2.113872e-01	9.154283e-01
3.940404731388884e-08	4.357827e-01	4.359512e-01	8.366610e-01	8.365763e-01	1.975545e-01	9.232159e-01
3.962865668888885e-08	4.109230e-01	4.110463e-01	8.454834e-01	8.454113e-01	1.847299e-01	9.309337e-01
